"","shortPostCode","population2019","population2020","population2021","population2022"
"34","B31 ",54606.7729020885,54913.2563585184,55221.4599698682,55531.3933906001
"35","B32 ",38734.1843512697,38951.582048864,39170.1999027547,39390.0447611346
"36","B33 ",34706.7060728846,34901.4993315448,35097.3858778694,35294.3718479942
"37","B34 ",19435.4738293003,19544.5564738147,19654.2513505514,19764.5618956968
"38","B35 ",10026.9627749756,10083.2396440423,10139.8323700703,10196.7427258236
"39","B36 ",34946.0418607137,35142.1784043842,35339.4157749786,35537.7601509473
"40","B37 ",35928.5253258778,36130.1761109563,36332.9586719357,36536.8793609694
"41","B38 ",21473.8504760635,21594.3736193842,21715.5732053436,21837.4530305122
"42","B4  ",4709.28358993187,4735.71469792902,4762.29415194455,4789.02278457847
"43","B42 ",24503.7611009759,24641.2897810029,24779.5903481599,24918.667134705
"44","B43 ",28600.6266455803,28761.1492043133,28922.5727045601,29084.9022029033
"45","B44 ",37299.1752368488,37508.5188684359,37719.0374524397,37930.737583344
"46","B45 ",30354.4149395886,30524.7807296578,30696.1027069071,30868.3862379887
"47","B46 ",12139.7547507276,12207.889778646,12276.4072180813,12345.3092153387
"48","B47 ",9407.5054417708,9460.30557316379,9513.40204814035,9566.79652994482
"49","B48 ",5828.53036242689,5861.24330326641,5894.13984724975,5927.22102485945
"50","B49 ",10246.1863117266,10303.6935847104,10361.5236203637,10419.6782302093
"51","B5  ",12050.2552334302,12117.8879404833,12185.9002397505,12254.2942617134
"52","B50 ",5380.02716338576,5410.2228558446,5440.58802325504,5471.12361680436
"53","B6  ",19774.3652599659,19885.3499509025,19996.9575493994,20109.1915515591
"54","B60 ",28107.8764941674,28265.6334661145,28424.2758575704,28583.8086379998
"55","B61 ",23601.7266401241,23734.1926031164,23867.4020384665,24001.359118953
"56","B62 ",24537.9519278086,24675.6725056942,24814.1660477469,24953.4368922698
"57","B63 ",36635.4709512723,36841.0895067803,37047.8621075148,37255.7952306167
"58","B64 ",16620.7642909233,16714.0492264298,16807.8577286653,16902.1927361762
"59","B65 ",23903.4104062952,24037.5695856871,24172.4817407051,24308.1510974654
"60","B66 ",21453.7382249854,21574.1484872128,21695.2345585276,21817.0002319447
"61","B67 ",30557.5486754772,30729.0545645888,30901.5230397478,31074.9595035204
"62","B68 ",30759.6767988119,30932.3171429112,31105.9264402477,31280.5101291237
"63","B69 ",29120.5283359486,29283.9688709436,29448.3267247513,29613.607045873
"64","B7  ",8593.96488566256,8642.1989768314,8690.70378443692,8739.48082788973
"65","B70 ",28149.1066088774,28307.0949870658,28465.970083543,28625.7368750631
"66","B71 ",31163.9330454812,31338.8422995559,31514.7332412474,31691.6113803303
"67","B72 ",9622.70652830623,9676.71448739757,9731.02556907055,9785.64147461699
"68","B73 ",22928.9718415624,23057.6619319837,23187.0743024744,23317.2130068703
"69","B74 ",32652.239625259,32835.5020802382,33019.7931056245,33205.1184743248
